"","locus_tag","pathway_id","pathway_name"
"33","PA14_00440","path:pau01100","Metabolic pathways"
"34","PA14_00440","path:pau01110","Biosynthesis of secondary metabolites"
"35","PA14_00440","path:pau01230","Biosynthesis of amino acids"
"36","PA14_00450","path:pau00260","Glycine, serine and threonine metabolism"
"37","PA14_00450","path:pau00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"38","PA14_00450","path:pau01100","Metabolic pathways"
"39","PA14_00450","path:pau01110","Biosynthesis of secondary metabolites"
"40","PA14_00450","path:pau01230","Biosynthesis of amino acids"
"41","PA14_00640","path:pau00250","Alanine, aspartate and glutamate metabolism"
"42","PA14_00640","path:pau01100","Metabolic pathways"
"43","PA14_00640","path:pau01110","Biosynthesis of secondary metabolites"
"44","PA14_00640","path:pau01230","Biosynthesis of amino acids"
"45","PA14_00770","path:pau00630","Glyoxylate and dicarboxylate metabolism"
"46","PA14_00770","path:pau01100","Metabolic pathways"
"47","PA14_00770","path:pau01110","Biosynthesis of secondary metabolites"
"48","PA14_00875","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"49","PA14_00875","path:pau03070","Bacterial secretion system"
"50","PA14_00890","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"51","PA14_00890","path:pau03070","Bacterial secretion system"
"52","PA14_00900","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"53","PA14_00910","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"54","PA14_00910","path:pau03070","Bacterial secretion system"
"55","PA14_00925","path:pau03070","Bacterial secretion system"
"56","PA14_00940","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"57","PA14_00960","path:pau03070","Bacterial secretion system"
"58","PA14_00970","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"59","PA14_00970","path:pau03070","Bacterial secretion system"
"60","PA14_00980","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"61","PA14_00980","path:pau03070","Bacterial secretion system"
"62","PA14_00990","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"63","PA14_01010","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"64","PA14_01020","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"65","PA14_01030","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"66","PA14_01030","path:pau03070","Bacterial secretion system"
"67","PA14_01080","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"68","PA14_01100","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"69","PA14_01100","path:pau03070","Bacterial secretion system"
"70","PA14_01110","path:pau03070","Bacterial secretion system"
"71","PA14_01160","path:pau03070","Bacterial secretion system"
"72","PA14_01190","path:pau00061","Fatty acid biosynthesis"
"73","PA14_01190","path:pau00780","Biotin metabolism"
"74","PA14_01190","path:pau01100","Metabolic pathways"
"75","PA14_01190","path:pau01212","Fatty acid metabolism"
"76","PA14_01190","path:pau01240","Biosynthesis of cofactors"
"77","PA14_01240","path:pau00910","Nitrogen metabolism"
"78","PA14_01240","path:pau01100","Metabolic pathways"
"79","PA14_01290","path:pau00190","Oxidative phosphorylation"
"80","PA14_01290","path:pau01100","Metabolic pathways"
"81","PA14_01300","path:pau00190","Oxidative phosphorylation"
"82","PA14_01300","path:pau01100","Metabolic pathways"
"83","PA14_01310","path:pau00190","Oxidative phosphorylation"
"84","PA14_01310","path:pau01100","Metabolic pathways"
"85","PA14_01320","path:pau00190","Oxidative phosphorylation"
"86","PA14_01320","path:pau01100","Metabolic pathways"
"87","PA14_01360","path:pau00190","Oxidative phosphorylation"
"88","PA14_01360","path:pau00860","Porphyrin metabolism"
"89","PA14_01360","path:pau01100","Metabolic pathways"
"90","PA14_01360","path:pau01110","Biosynthesis of secondary metabolites"
"91","PA14_01360","path:pau01240","Biosynthesis of cofactors"
"92","PA14_01360","path:pau02020","Two-component system"
"93","PA14_01380","path:pau00190","Oxidative phosphorylation"
"94","PA14_01380","path:pau00860","Porphyrin metabolism"
"95","PA14_01380","path:pau01100","Metabolic pathways"
"96","PA14_01380","path:pau01110","Biosynthesis of secondary metabolites"
"97","PA14_01380","path:pau01240","Biosynthesis of cofactors"
"98","PA14_01460","path:pau02020","Two-component system"
"99","PA14_01600","path:pau00280","Valine, leucine and isoleucine degradation"
"100","PA14_01600","path:pau00410","beta-Alanine metabolism"
"101","PA14_01600","path:pau00562","Inositol phosphate metabolism"
"102","PA14_01600","path:pau00640","Propanoate metabolism"
"103","PA14_01600","path:pau01100","Metabolic pathways"
"104","PA14_01600","path:pau01120","Microbial metabolism in diverse environments"
"105","PA14_01600","path:pau01200","Carbon metabolism"
"106","PA14_01620","path:pau00280","Valine, leucine and isoleucine degradation"
"107","PA14_01620","path:pau00410","beta-Alanine metabolism"
"108","PA14_01620","path:pau00640","Propanoate metabolism"
"109","PA14_01620","path:pau01100","Metabolic pathways"
"110","PA14_01660","path:pau00230","Purine metabolism"
"111","PA14_01660","path:pau01100","Metabolic pathways"
"112","PA14_01660","path:pau01232","Nucleotide metabolism"
"113","PA14_01670","path:pau02010","ABC transporters"
"114","PA14_01680","path:pau02010","ABC transporters"
"115","PA14_01690","path:pau02010","ABC transporters"
"116","PA14_01730","path:pau00190","Oxidative phosphorylation"
"117","PA14_01730","path:pau03018","RNA degradation"
"118","PA14_01800","path:pau02010","ABC transporters"
"119","PA14_01830","path:pau00230","Purine metabolism"
"120","PA14_01830","path:pau01100","Metabolic pathways"
"121","PA14_01830","path:pau01232","Nucleotide metabolism"
"122","PA14_01860","path:pau02020","Two-component system"
"123","PA14_01900","path:pau00362","Benzoate degradation"
"124","PA14_01900","path:pau01100","Metabolic pathways"
"125","PA14_01900","path:pau01120","Microbial metabolism in diverse environments"
"126","PA14_01900","path:pau01220","Degradation of aromatic compounds"
"127","PA14_01910","path:pau00362","Benzoate degradation"
"128","PA14_01910","path:pau01100","Metabolic pathways"
"129","PA14_01910","path:pau01120","Microbial metabolism in diverse environments"
"130","PA14_01910","path:pau01220","Degradation of aromatic compounds"
"131","PA14_02050","path:pau00430","Taurine and hypotaurine metabolism"
"132","PA14_02050","path:pau00460","Cyanoamino acid metabolism"
"133","PA14_02050","path:pau00480","Glutathione metabolism"
"134","PA14_02050","path:pau01100","Metabolic pathways"
"135","PA14_02110","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"136","PA14_02180","path:pau02020","Two-component system"
"137","PA14_02180","path:pau02030","Bacterial chemotaxis"
"138","PA14_02190","path:pau02030","Bacterial chemotaxis"
"139","PA14_02200","path:pau02020","Two-component system"
"140","PA14_02200","path:pau02030","Bacterial chemotaxis"
"141","PA14_02220","path:pau02020","Two-component system"
"142","PA14_02220","path:pau02030","Bacterial chemotaxis"
"143","PA14_02230","path:pau02020","Two-component system"
"144","PA14_02230","path:pau02030","Bacterial chemotaxis"
"145","PA14_02250","path:pau02020","Two-component system"
"146","PA14_02250","path:pau02030","Bacterial chemotaxis"
"147","PA14_02260","path:pau02020","Two-component system"
"148","PA14_02260","path:pau02030","Bacterial chemotaxis"
"149","PA14_02270","path:pau02020","Two-component system"
"150","PA14_02270","path:pau02030","Bacterial chemotaxis"
"151","PA14_02300","path:pau00061","Fatty acid biosynthesis"
"152","PA14_02300","path:pau00780","Biotin metabolism"
"153","PA14_02300","path:pau01100","Metabolic pathways"
"154","PA14_02300","path:pau01110","Biosynthesis of secondary metabolites"
"155","PA14_02300","path:pau01212","Fatty acid metabolism"
"156","PA14_02300","path:pau01240","Biosynthesis of cofactors"
"157","PA14_02310","path:pau00600","Sphingolipid metabolism"
"158","PA14_02310","path:pau01100","Metabolic pathways"
"159","PA14_02330","path:pau00920","Sulfur metabolism"
"160","PA14_02330","path:pau02010","ABC transporters"
"161","PA14_02340","path:pau00920","Sulfur metabolism"
"162","PA14_02340","path:pau02010","ABC transporters"
"163","PA14_02360","path:pau00920","Sulfur metabolism"
"164","PA14_02360","path:pau02010","ABC transporters"
"165","PA14_02370","path:pau01501","beta-Lactam resistance"
"166","PA14_02370","path:pau02020","Two-component system"
"167","PA14_02380","path:pau00740","Riboflavin metabolism"
"168","PA14_02380","path:pau01100","Metabolic pathways"
"169","PA14_02380","path:pau02020","Two-component system"
"170","PA14_02450","path:pau00760","Nicotinate and nicotinamide metabolism"
"171","PA14_02450","path:pau01100","Metabolic pathways"
"172","PA14_02460","path:pau00760","Nicotinate and nicotinamide metabolism"
"173","PA14_02460","path:pau01100","Metabolic pathways"
"174","PA14_02470","path:pau00760","Nicotinate and nicotinamide metabolism"
"175","PA14_02470","path:pau01100","Metabolic pathways"
"176","PA14_02680","path:pau00330","Arginine and proline metabolism"
"177","PA14_02680","path:pau01100","Metabolic pathways"
"178","PA14_02700","path:pau00330","Arginine and proline metabolism"
"179","PA14_02700","path:pau01100","Metabolic pathways"
"180","PA14_02720","path:pau02024","Quorum sensing"
"181","PA14_02730","path:pau00261","Monobactam biosynthesis"
"182","PA14_02730","path:pau00300","Lysine biosynthesis"
"183","PA14_02730","path:pau01100","Metabolic pathways"
"184","PA14_02730","path:pau01110","Biosynthesis of secondary metabolites"
"185","PA14_02730","path:pau01120","Microbial metabolism in diverse environments"
"186","PA14_02730","path:pau01230","Biosynthesis of amino acids"
"187","PA14_02740","path:pau00040","Pentose and glucuronate interconversions"
"188","PA14_02740","path:pau00051","Fructose and mannose metabolism"
"189","PA14_02740","path:pau01100","Metabolic pathways"
"190","PA14_02740","path:pau01120","Microbial metabolism in diverse environments"
"191","PA14_02760","path:pau00643","Styrene degradation"
"192","PA14_02760","path:pau00650","Butanoate metabolism"
"193","PA14_02760","path:pau01100","Metabolic pathways"
"194","PA14_02760","path:pau01120","Microbial metabolism in diverse environments"
"195","PA14_02770","path:pau00643","Styrene degradation"
"196","PA14_02770","path:pau00650","Butanoate metabolism"
"197","PA14_02770","path:pau01100","Metabolic pathways"
"198","PA14_02770","path:pau01120","Microbial metabolism in diverse environments"
"199","PA14_02790","path:pau00362","Benzoate degradation"
"200","PA14_02790","path:pau01120","Microbial metabolism in diverse environments"
"201","PA14_02830","path:pau00362","Benzoate degradation"
"202","PA14_02830","path:pau01100","Metabolic pathways"
"203","PA14_02830","path:pau01120","Microbial metabolism in diverse environments"
"204","PA14_02830","path:pau01220","Degradation of aromatic compounds"
"205","PA14_02840","path:pau00362","Benzoate degradation"
"206","PA14_02840","path:pau01100","Metabolic pathways"
"207","PA14_02840","path:pau01120","Microbial metabolism in diverse environments"
"208","PA14_02840","path:pau01220","Degradation of aromatic compounds"
"209","PA14_02850","path:pau00362","Benzoate degradation"
"210","PA14_02850","path:pau01100","Metabolic pathways"
"211","PA14_02850","path:pau01120","Microbial metabolism in diverse environments"
"212","PA14_02850","path:pau01220","Degradation of aromatic compounds"
"213","PA14_03000","path:pau00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"214","PA14_03000","path:pau01100","Metabolic pathways"
"215","PA14_03000","path:pau01110","Biosynthesis of secondary metabolites"
"216","PA14_03020","path:pau00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"217","PA14_03020","path:pau01100","Metabolic pathways"
"218","PA14_03030","path:pau00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"219","PA14_03030","path:pau01100","Metabolic pathways"
"220","PA14_03030","path:pau01110","Biosynthesis of secondary metabolites"
"221","PA14_03030","path:pau01230","Biosynthesis of amino acids"
"222","PA14_03050","path:pau00362","Benzoate degradation"
"223","PA14_03050","path:pau01100","Metabolic pathways"
"224","PA14_03050","path:pau01120","Microbial metabolism in diverse environments"
"225","PA14_03050","path:pau01220","Degradation of aromatic compounds"
"226","PA14_03220","path:pau03070","Bacterial secretion system"
"227","PA14_03240","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"228","PA14_03240","path:pau03070","Bacterial secretion system"
"229","PA14_03330","path:pau00340","Histidine metabolism"
"230","PA14_03330","path:pau01100","Metabolic pathways"
"231","PA14_03330","path:pau01110","Biosynthesis of secondary metabolites"
"232","PA14_03330","path:pau01230","Biosynthesis of amino acids"
"233","PA14_03430","path:pau00250","Alanine, aspartate and glutamate metabolism"
"234","PA14_03430","path:pau00310","Lysine degradation"
"235","PA14_03430","path:pau00350","Tyrosine metabolism"
"236","PA14_03430","path:pau00650","Butanoate metabolism"
"237","PA14_03430","path:pau00760","Nicotinate and nicotinamide metabolism"
"238","PA14_03430","path:pau01100","Metabolic pathways"
"239","PA14_03430","path:pau01120","Microbial metabolism in diverse environments"
"240","PA14_03450","path:pau00250","Alanine, aspartate and glutamate metabolism"
"241","PA14_03450","path:pau00310","Lysine degradation"
"242","PA14_03450","path:pau00650","Butanoate metabolism"
"243","PA14_03450","path:pau01100","Metabolic pathways"
"244","PA14_03450","path:pau01120","Microbial metabolism in diverse environments"
"245","PA14_03580","path:pau02020","Two-component system"
"246","PA14_03580","path:pau02024","Quorum sensing"
"247","PA14_03580","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"248","PA14_03650","path:pau00920","Sulfur metabolism"
"249","PA14_03650","path:pau02010","ABC transporters"
"250","PA14_03670","path:pau00920","Sulfur metabolism"
"251","PA14_03670","path:pau02010","ABC transporters"
"252","PA14_03680","path:pau00920","Sulfur metabolism"
"253","PA14_03680","path:pau02010","ABC transporters"
"254","PA14_03700","path:pau00920","Sulfur metabolism"
"255","PA14_03700","path:pau02010","ABC transporters"
"256","PA14_03730","path:pau01040","Biosynthesis of unsaturated fatty acids"
"257","PA14_03730","path:pau01100","Metabolic pathways"
"258","PA14_03730","path:pau01212","Fatty acid metabolism"
"259","PA14_03810","path:pau00330","Arginine and proline metabolism"
"260","PA14_03810","path:pau01100","Metabolic pathways"
"261","PA14_03810","path:pau01110","Biosynthesis of secondary metabolites"
"262","PA14_03830","path:pau00330","Arginine and proline metabolism"
"263","PA14_03830","path:pau01100","Metabolic pathways"
"264","PA14_03830","path:pau01110","Biosynthesis of secondary metabolites"
"265","PA14_03855","path:pau02010","ABC transporters"
"266","PA14_03860","path:pau00220","Arginine biosynthesis"
"267","PA14_03860","path:pau00250","Alanine, aspartate and glutamate metabolism"
"268","PA14_03860","path:pau00630","Glyoxylate and dicarboxylate metabolism"
"269","PA14_03860","path:pau00910","Nitrogen metabolism"
"270","PA14_03860","path:pau01100","Metabolic pathways"
"271","PA14_03860","path:pau01110","Biosynthesis of secondary metabolites"
"272","PA14_03860","path:pau01120","Microbial metabolism in diverse environments"
"273","PA14_03860","path:pau01230","Biosynthesis of amino acids"
"274","PA14_03860","path:pau02020","Two-component system"
"275","PA14_03880","path:pau00220","Arginine biosynthesis"
"276","PA14_03880","path:pau00250","Alanine, aspartate and glutamate metabolism"
"277","PA14_03880","path:pau00630","Glyoxylate and dicarboxylate metabolism"
"278","PA14_03880","path:pau00910","Nitrogen metabolism"
"279","PA14_03880","path:pau01100","Metabolic pathways"
"280","PA14_03880","path:pau01110","Biosynthesis of secondary metabolites"
"281","PA14_03880","path:pau01120","Microbial metabolism in diverse environments"
"282","PA14_03880","path:pau01230","Biosynthesis of amino acids"
"283","PA14_03880","path:pau02020","Two-component system"
"284","PA14_03900","path:pau00330","Arginine and proline metabolism"
"285","PA14_03900","path:pau01100","Metabolic pathways"
"286","PA14_03920","path:pau02010","ABC transporters"
"287","PA14_03930","path:pau02010","ABC transporters"
"288","PA14_03940","path:pau02010","ABC transporters"
"289","PA14_03950","path:pau02010","ABC transporters"
"290","PA14_03960","path:pau02010","ABC transporters"
"291","PA14_03980","path:pau01110","Biosynthesis of secondary metabolites"
"292","PA14_04080","path:pau02010","ABC transporters"
"293","PA14_04090","path:pau02010","ABC transporters"
"294","PA14_04090","path:pau02040","Flagellar assembly"
"295","PA14_04110","path:pau00260","Glycine, serine and threonine metabolism"
"296","PA14_04110","path:pau00270","Cysteine and methionine metabolism"
"297","PA14_04110","path:pau00680","Methane metabolism"
"298","PA14_04110","path:pau01100","Metabolic pathways"
"299","PA14_04110","path:pau01110","Biosynthesis of secondary metabolites"
"300","PA14_04110","path:pau01120","Microbial metabolism in diverse environments"
"301","PA14_04110","path:pau01200","Carbon metabolism"
"302","PA14_04110","path:pau01230","Biosynthesis of amino acids"
"303","PA14_04220","path:pau02010","ABC transporters"
"304","PA14_04230","path:pau02010","ABC transporters"
"305","PA14_04240","path:pau02010","ABC transporters"
"306","PA14_04250","path:pau02010","ABC transporters"
"307","PA14_04310","path:pau00030","Pentose phosphate pathway"
"308","PA14_04310","path:pau00710","Carbon fixation by Calvin cycle"
"309","PA14_04310","path:pau01100","Metabolic pathways"
"310","PA14_04310","path:pau01110","Biosynthesis of secondary metabolites"
"311","PA14_04310","path:pau01120","Microbial metabolism in diverse environments"
"312","PA14_04310","path:pau01200","Carbon metabolism"
"313","PA14_04310","path:pau01230","Biosynthesis of amino acids"
"314","PA14_04320","path:pau00260","Glycine, serine and threonine metabolism"
"315","PA14_04320","path:pau00290","Valine, leucine and isoleucine biosynthesis"
"316","PA14_04320","path:pau01100","Metabolic pathways"
"317","PA14_04320","path:pau01110","Biosynthesis of secondary metabolites"
"318","PA14_04320","path:pau01200","Carbon metabolism"
"319","PA14_04320","path:pau01230","Biosynthesis of amino acids"
"320","PA14_04390","path:pau03018","RNA degradation"
"321","PA14_04410","path:pau02060","Phosphotransferase system (PTS)"
"322","PA14_04480","path:pau00240","Pyrimidine metabolism"
"323","PA14_04480","path:pau00670","One carbon pool by folate"
"324","PA14_04480","path:pau01100","Metabolic pathways"
"325","PA14_04480","path:pau01232","Nucleotide metabolism"
"326","PA14_04480","path:pau04981","Folate transport and metabolism"
"327","PA14_04550","path:pau00564","Glycerophospholipid metabolism"
"328","PA14_04580","path:pau00670","One carbon pool by folate"
"329","PA14_04580","path:pau00790","Folate biosynthesis"
"330","PA14_04580","path:pau01100","Metabolic pathways"
"331","PA14_04580","path:pau01240","Biosynthesis of cofactors"
"332","PA14_04580","path:pau04981","Folate transport and metabolism"
"333","PA14_04630","path:pau00290","Valine, leucine and isoleucine biosynthesis"
"334","PA14_04630","path:pau00770","Pantothenate and CoA biosynthesis"
"335","PA14_04630","path:pau01100","Metabolic pathways"
"336","PA14_04630","path:pau01110","Biosynthesis of secondary metabolites"
"337","PA14_04630","path:pau01210","2-Oxocarboxylic acid metabolism"
"338","PA14_04630","path:pau01230","Biosynthesis of amino acids"
"339","PA14_04670","path:pau03410","Base excision repair"
"340","PA14_04730","path:pau00430","Taurine and hypotaurine metabolism"
"341","PA14_04730","path:pau00460","Cyanoamino acid metabolism"
"342","PA14_04730","path:pau00480","Glutathione metabolism"
"343","PA14_04730","path:pau01100","Metabolic pathways"
"344","PA14_04760","path:pau00770","Pantothenate and CoA biosynthesis"
"345","PA14_04760","path:pau01100","Metabolic pathways"
"346","PA14_04760","path:pau01240","Biosynthesis of cofactors"
"347","PA14_04900","path:pau02024","Quorum sensing"
"348","PA14_04900","path:pau03060","Protein export"
"349","PA14_04900","path:pau03070","Bacterial secretion system"
"350","PA14_04910","path:pau02010","ABC transporters"
"351","PA14_04920","path:pau02010","ABC transporters"
"352","PA14_04950","path:pau00550","Peptidoglycan biosynthesis"
"353","PA14_04950","path:pau01100","Metabolic pathways"
"354","PA14_04970","path:pau04122","Sulfur relay system"
"355","PA14_04980","path:pau00730","Thiamine metabolism"
"356","PA14_04980","path:pau01100","Metabolic pathways"
"357","PA14_04980","path:pau01240","Biosynthesis of cofactors"
"358","PA14_05050","path:pau00230","Purine metabolism"
"359","PA14_05050","path:pau01100","Metabolic pathways"
"360","PA14_05050","path:pau01232","Nucleotide metabolism"
"361","PA14_05080","path:pau00270","Cysteine and methionine metabolism"
"362","PA14_05080","path:pau00920","Sulfur metabolism"
"363","PA14_05080","path:pau01100","Metabolic pathways"
"364","PA14_05080","path:pau01110","Biosynthesis of secondary metabolites"
"365","PA14_05080","path:pau01120","Microbial metabolism in diverse environments"
"366","PA14_05080","path:pau01230","Biosynthesis of amino acids"
"367","PA14_05150","path:pau00330","Arginine and proline metabolism"
"368","PA14_05150","path:pau01100","Metabolic pathways"
"369","PA14_05150","path:pau01110","Biosynthesis of secondary metabolites"
"370","PA14_05150","path:pau01230","Biosynthesis of amino acids"
"371","PA14_05220","path:pau00260","Glycine, serine and threonine metabolism"
"372","PA14_05220","path:pau00270","Cysteine and methionine metabolism"
"373","PA14_05220","path:pau00670","One carbon pool by folate"
"374","PA14_05220","path:pau01100","Metabolic pathways"
"375","PA14_05220","path:pau01110","Biosynthesis of secondary metabolites"
"376","PA14_05220","path:pau01230","Biosynthesis of amino acids"
"377","PA14_05230","path:pau00260","Glycine, serine and threonine metabolism"
"378","PA14_05230","path:pau00270","Cysteine and methionine metabolism"
"379","PA14_05230","path:pau00450","Selenocompound metabolism"
"380","PA14_05230","path:pau00670","One carbon pool by folate"
"381","PA14_05230","path:pau01100","Metabolic pathways"
"382","PA14_05230","path:pau01110","Biosynthesis of secondary metabolites"
"383","PA14_05230","path:pau01230","Biosynthesis of amino acids"
"384","PA14_05250","path:pau00240","Pyrimidine metabolism"
"385","PA14_05250","path:pau01100","Metabolic pathways"
"386","PA14_05250","path:pau01240","Biosynthesis of cofactors"
"387","PA14_05260","path:pau00240","Pyrimidine metabolism"
"388","PA14_05260","path:pau00250","Alanine, aspartate and glutamate metabolism"
"389","PA14_05260","path:pau01100","Metabolic pathways"
"390","PA14_05260","path:pau01240","Biosynthesis of cofactors"
"391","PA14_05270","path:pau00240","Pyrimidine metabolism"
"392","PA14_05270","path:pau01100","Metabolic pathways"
"393","PA14_05270","path:pau01232","Nucleotide metabolism"
"394","PA14_05310","path:pau00270","Cysteine and methionine metabolism"
"395","PA14_05310","path:pau00480","Glutathione metabolism"
"396","PA14_05310","path:pau01100","Metabolic pathways"
"397","PA14_05310","path:pau01240","Biosynthesis of cofactors"
"398","PA14_05320","path:pau02020","Two-component system"
"399","PA14_05320","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"400","PA14_05330","path:pau02020","Two-component system"
"401","PA14_05330","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"402","PA14_05340","path:pau02020","Two-component system"
"403","PA14_05340","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"404","PA14_05360","path:pau02020","Two-component system"
"405","PA14_05360","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"406","PA14_05380","path:pau02020","Two-component system"
"407","PA14_05390","path:pau02020","Two-component system"
"408","PA14_05390","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"409","PA14_05400","path:pau02020","Two-component system"
"410","PA14_05410","path:pau02020","Two-component system"
"411","PA14_05410","path:pau02025","Biofilm formation - Pseudomonas aeruginosa"
"412","PA14_05460","path:pau00780","Biotin metabolism"
"413","PA14_05460","path:pau01100","Metabolic pathways"
"414","PA14_05460","path:pau01240","Biosynthesis of cofactors"
"415","PA14_05480","path:pau00260","Glycine, serine and threonine metabolism"
"416","PA14_05480","path:pau00330","Arginine and proline metabolism"
"417","PA14_05480","path:pau00340","Histidine metabolism"
"418","PA14_05480","path:pau00350","Tyrosine metabolism"
"419","PA14_05480","path:pau00360","Phenylalanine metabolism"
"420","PA14_05480","path:pau00380","Tryptophan metabolism"
"421","PA14_05480","path:pau01100","Metabolic pathways"
"422","PA14_05480","path:pau01110","Biosynthesis of secondary metabolites"
"423","PA14_05520","path:pau01501","beta-Lactam resistance"
"424","PA14_05530","path:pau01501","beta-Lactam resistance"
"425","PA14_05530","path:pau01503","Cationic antimicrobial peptide (CAMP) resistance"
"426","PA14_05540","path:pau01501","beta-Lactam resistance"
"427","PA14_05540","path:pau01503","Cationic antimicrobial peptide (CAMP) resistance"
"428","PA14_05550","path:pau01501","beta-Lactam resistance"
"429","PA14_05550","path:pau02024","Quorum sensing"
"430","PA14_05560","path:pau03018","RNA degradation"
"431","PA14_05590","path:pau00670","One carbon pool by folate"
"432","PA14_05590","path:pau00720","Other carbon fixation pathways"
"433","PA14_05590","path:pau01100","Metabolic pathways"
"434","PA14_05590","path:pau01120","Microbial metabolism in diverse environments"
"435","PA14_05590","path:pau01200","Carbon metabolism"
"436","PA14_05620","path:pau00270","Cysteine and methionine metabolism"
"437","PA14_05620","path:pau00670","One carbon pool by folate"
"438","PA14_05620","path:pau01100","Metabolic pathways"
"439","PA14_05690","path:pau00240","Pyrimidine metabolism"
"440","PA14_05690","path:pau00330","Arginine and proline metabolism"
"441","PA14_05690","path:pau01100","Metabolic pathways"
"442","PA14_05690","path:pau01232","Nucleotide metabolism"
"443","PA14_05740","path:pau00240","Pyrimidine metabolism"
"444","PA14_05740","path:pau00410","beta-Alanine metabolism"
"445","PA14_05740","path:pau00770","Pantothenate and CoA biosynthesis"
"446","PA14_05740","path:pau01100","Metabolic pathways"
"447","PA14_05750","path:pau00240","Pyrimidine metabolism"
"448","PA14_05750","path:pau00410","beta-Alanine metabolism"
"449","PA14_05750","path:pau00770","Pantothenate and CoA biosynthesis"
"450","PA14_05750","path:pau01100","Metabolic pathways"
"451","PA14_05770","path:pau00240","Pyrimidine metabolism"
"452","PA14_05770","path:pau00410","beta-Alanine metabolism"
"453","PA14_05770","path:pau00770","Pantothenate and CoA biosynthesis"
"454","PA14_05770","path:pau01100","Metabolic pathways"
"455","PA14_05810","path:pau00240","Pyrimidine metabolism"
"456","PA14_05810","path:pau00410","beta-Alanine metabolism"
"457","PA14_05810","path:pau00770","Pantothenate and CoA biosynthesis"
"458","PA14_05810","path:pau01100","Metabolic pathways"
"459","PA14_05820","path:pau00310","Lysine degradation"
"460","PA14_05820","path:pau01100","Metabolic pathways"
"461","PA14_05820","path:pau01120","Microbial metabolism in diverse environments"
"462","PA14_05840","path:pau00071","Fatty acid degradation"
"463","PA14_05840","path:pau00310","Lysine degradation"
"464","PA14_05840","path:pau00362","Benzoate degradation"
